№|Номер|Начальная остановка|Конечная остановка|Количество|Начальное время|Конечное время|Цена
107|111|Zhiloy rayon "Mirnyi"|Gorodok "Novyy"|7|05.20|17.40|75
108|112|Avtostoyanka "Central"|Promzona "Techno"|6|07.25|18.30|95
109|113|Selkhoz "Zemlyachka"|Derevnya Zarechnaya|3|06.00|20.50|320
110|114|Stanitsa Staraya|TC "Innovation"|10|05.10|17.25|100
111|115|Derevnya Urochishche|Promzona "EcoZone"|4|04.35|21.40|315
112|116|SNT "Berezovoe"|Zhiloy rayon "Zvezdnyi"|6|06.45|19.15|80
113|117|Gorodok "Molodezhnyi"|Avtostoyanka "Ural"|3|07.05|20.45|325
114|118|Stanitsa Novopavlovskaya|Selkhoz "Agrograd"|5|05.50|18.00|90
115|119|Derevnya Zhuravlevka|Zhiloy rayon "Stepnoy"|4|06.20|19.05|60
116|120|Promzona "Laboratory"|Stanitsa Verbovka|7|07.10|17.55|75
117|121|Selkhoz "Polyana"|Gorodok "Sputnik"|6|05.30|18.40|85
118|122|Zhiloy rayon "Green"|Derevnya Brestskaya|3|06.50|21.15|330
119|123|Avtostoyanka "Health"|Stanitsa Borisoglebsk|5|07.20|18.25|95
120|124|Promzona "Happiness"|SNT "Rodniki"|4|05.45|17.30|65
121|125|Gorodok "Kindness"|Derevnya Lesnaya|7|06.05|17.40|70
122|126|Stanitsa Kholodnaya Rechka|Zhiloy rayon "Creative"|6|05.25|18.25|85
123|127|Selkhoz "Ecology"|Promzona "Harmony"|3|06.40|19.05|315
124|128|Derevnya Yantarnaya|Avtostoyanka "New Horizon"|5|07.10|17.50|100
125|129|Zhiloy rayon "Unity"|Stanitsa Brekhov|4|05.35|20.45|320
126|130|Promzona "Science"|SNT "Topolevo"|7|05.15|17.50|75
127|131|Gorodok "Technopolis"|Derevnya Kaliningradskaya|6|06.05|18.40|85
128|132|Stanitsa Vostochnaya|Zhiloy rayon "Innovation"|3|07.20|18.00|310
129|133|Selkhoz "Green Valley"|Promzona "Diamond"|5|05.55|17.45|90
130|134|Avtostoyanka "Platinum"|Derevnya Gatchina|4|06.20|19.30|60
131|135|Zhiloy rayon "Bronze"|Stanitsa Georgievsk|7|07.00|17.20|75
132|136|Promzona "Ruby"|SNT "Emerald"|6|05.30|18.25|85
133|137|Gorodok "Sapphire"|Derevnya Grozny|3|06.50|21.15|335
134|138|Stanitsa Dagomys|Zhiloy rayon "Golden"|5|07.15|18.10|95
135|139|Selkhoz "Opal"|Promzona "Silver"|4|05.40|18.50|65
136|140|Avtostoyanka "Beige"|Derevnya Vyshniy Volochek|7|06.10|19.15|70
137|141|Zhiloy rayon "Brown"|Stanitsa Vyborgskaya|6|05.20|18.30|85
138|142|Promzona "Pink"|SNT "White"|3|07.30|17.40|310
139|143|Gorodok "Orange"|Derevnya Voronezhskaya|5|05.10|17.55|100
140|144|Stanitsa Volgogradskaya|Zhiloy rayon "Red"|4|06.35|19.25|60
141|145|Selkhoz "Purple"|Promzona "Black"|7|07.00|18.30|75
142|146|Avtostoyanka "Gray"|Derevnya Voskhod|6|05.50|18.05|85
143|147|Zhiloy rayon "Blue"|Stanitsa Vologodskaya|3|06.45|21.00|320
144|148|Promzona "Yellow"|SNT "Volzhskaya"|5|07.20|19.30|90
145|149|Gorodok "Lime"|Derevnya Vladimirskaya|4|05.15|18.45|65
146|150|Stanitsa Bryanskaya|Zhiloy rayon "Cyan"|7|06.00|18.20|70
147|151|Selkhoz "Turquoise"|Promzona "Magenta"|6|05.25|18.25|85
148|152|Avtostoyanka "Rose"|Derevnya Kurskaya|3|07.10|20.50|315
149|153|Zhiloy rayon "Maroon"|Stanitsa Tambovskaya|5|05.35|17.20|100
150|154|Promzona "Navy"|SNT "Chernozem"|4|06.50|19.30|60
151|155|Gorodok "Olive"|Derevnya Lipetskaya|7|07.05|17.55|75
152|156|Stanitsa Rostovskaya|Zhiloy rayon "Amber"|6|05.45|18.40|85
153|157|Selkhoz "Ivory"|Promzona "Pearl"|3|06.15|21.25|320
154|158|Avtostoyanka "Teal"|Derevnya Tula|5|07.25|19.00|95
155|159|Zhiloy rayon "Indigo"|Stanitsa Orel|4|05.05|17.25|65
156|160|Promzona "Violet"|SNT "Coral"|7|06.20|18.35|70
157|161|Gorodok "Mauve"|Derevnya Ryazanskaya|6|05.10|18.45|85
158|162|Stanitsa Penzenskaya|Zhiloy rayon "Fuchsia"|3|07.30|20.50|310
159|163|Selkhoz "Crimson"|Promzona "Ruby"|5|05.55|17.40|100
160|164|Avtostoyanka "Emerald"|Derevnya Yaroslavl|4|06.40|19.05|60
161|165|Zhiloy rayon "Sapphire"|Stanitsa Ivanovo|7|07.10|17.50|75
162|166|Promzona "Opal"|SNT "Onyx"|6|05.30|18.40|85
163|167|Gorodok "Jade"|Derevnya Kirovskaya|3|06.50|21.15|325
164|168|Stanitsa Arkhangelskaya|Zhiloy rayon "Quartz"|5|07.20|19.30|90
165|169|Selkhoz "Topaz"|Promzona "Granite"|4|05.40|18.20|65
166|170|Avtostoyanka "Marble"|Derevnya Smolenskaya|7|06.05|18.35|70
167|171|Zhiloy rayon "Basalt"|Stanitsa Yekaterinburg|6|05.20|18.25|85
168|172|Promzona "Obsidian"|SNT "Amethyst"|3|07.15|20.50|320
169|173|Gorodok "Calcite"|Derevnya Chelyabinskaya|5|05.15|17.30|100
170|174|Stanitsa Kazanskaya|Zhiloy rayon "Gypsum"|4|06.30|19.20|60
171|175|Selkhoz "Talc"|Promzona "Marble"|7|07.00|17.40|75
172|176|Avtostoyanka "Salt"|Derevnya Ufa|6|05.25|18.25|85
173|177|Zhiloy rayon "Clay"|Stanitsa Samara|3|06.45|21.00|315
174|178|Promzona "Sandstone"|SNT "Peat"|5|07.25|19.10|95
175|179|Gorodok "Shale"|Derevnya Saratovskaya|4|05.35|18.45|65
176|180|Stanitsa Tyumen|Zhiloy rayon "Loam"|7|06.10|18.00|70
177|181|Selkhoz "Chalk"|Promzona "Limestone"|6|05.45|18.40|85
178|182|Avtostoyanka "Flint"|Derevnya Kursk|3|07.30|20.50|310
179|183|Zhiloy rayon "Gneiss"|Stanitsa Nizhny Tagil|5|05.05|17.25|100
180|184|Promzona "Schist"|SNT "Dolomite"|4|06.20|19.30|60
181|185|Gorodok "Marl"|Derevnya Magnitogorsk|7|07.10|17.50|75
182|186|Stanitsa Norilsk|Zhiloy rayon "Phyllite"|6|05.30|18.25|85
183|187|Selkhoz "Slate"|Promzona "Quartzite"|3|06.50|21.15|320
184|188|Avtostoyanka "Granite"|Derevnya Bratsk|5|07.20|19.30|90
185|189|Zhiloy rayon "Diorite"|Stanitsa Irkutsk|4|05.40|18.20|65
186|190|Promzona "Pumice"|SNT "Andesite"|7|06.05|18.35|70
187|191|Gorodok "Basalt"|Derevnya Khabarovsk|6|05.20|18.25|85
188|192|Stanitsa Vladivostok|Zhiloy rayon "Rhyolite"|3|07.15|20.50|320
189|193|Selkhoz "Peridotite"|Promzona "Gabbro"|5|05.15|17.30|100
190|194|Avtostoyanka "Kimberlite"|Derevnya Yakutsk|4|06.30|19.20|60
191|195|Zhiloy rayon "Anorthosite"|Stanitsa Blagoveshchensk|7|07.00|17.40|75
192|196|Promzona "Komatiite"|SNT "Tuff"|6|05.25|18.25|85
193|197|Gorodok "Obsidian"|Derevnya Petropavlovsk-Kamchatskiy|3|06.45|21.00|315
194|198|Stanitsa Magadan|Zhiloy rayon "Pegmatite"|5|07.25|19.10|95
195|199|Selkhoz "Syenite"|Promzona "Dacite"|4|05.35|18.45|65
